Protocol,Port
UDP,6343
UDP,6160
UDP,427
UDP,2100
UDP,199
UDP,11731
TCP,9997
TCP,9989
TCP,990
TCP,989
TCP,9887
TCP,9779
TCP,9669
TCP,9443
TCP,9440
TCP,9395
TCP,9380
TCP,9180
TCP,9100
TCP,9080
TCP,9071
TCP,9008
TCP,9007
TCP,9001
TCP,8983
TCP,8443
TCP,8191
TCP,8089
TCP,8088
TCP,8081
TCP,8080
TCP,8065
TCP,8000
TCP,7500
TCP,7001
TCP,6211
TCP,6183
TCP,6167
TCP,6160
TCP,5986
TCP,5985
TCP,5672
TCP,5671
TCP,5666
TCP,5480
TCP,548
TCP,4369
TCP,427
TCP,4009
TCP,4008
TCP,4007
TCP,4006
TCP,4005
TCP,37890-37892
TCP,32032
TCP,32022
TCP,31031
TCP,25672
TCP,2500-3300
TCP,199
TCP,1801
TCP,17799
TCP,17790
TCP,17778
TCP,17777
TCP,1684
TCP,161-162
TCP,1414
TCP,11731
TCP,10006
TCP,10005
TCP,8092
TCP,8321
TCP,9535
TCP,9590-9591
TCP,9594-9595
TCP,9971-9972
TCP,12174
TCP,16992-16994
TCP,33354
UDP,9595
UDP,33354
UDP,38293
TCP,44344
TCP,44346
TCP,5007
TCP,9593
TCP,9982
TCP,12175-12176
TCP,444
TCP,2195-2196
TCP,5223
TCP,5228
TCP,5228-5230
UDP,1758
UDP,69
UDP,1759
UDP,4011
TCP,9595
TCP,44344-44346
TCP,6514
UDP,8125
TCP,50514
TCP,8125
TCP,8126
UDP,541
TCP,15671
TCP,55555
TCP,55580
TCP,6129-6130
TCP,6132-6133
TCP,5900
UDP,5900
TCP,16992
UDP,16992
TCP,16993
UDP,16993
UDP,1234-1235
TCP,3337
TCP,8123-8124
TCP,8124
TCP,17776-17778
TCP,7
TCP,9
TCP,2055
TCP,17779-17780
TCP,17791
TCP,135
TCP,1024-1034